symbol_original,symbol,date,close,change_1d,rsi,macd,macd_signal,macd_hist,bb_pctb,bb_bandwidth,support,resistance,hi_52w,lo_52w,td_last_signal,td_curr_buy_count,td_curr_sell_count,tags,local_score,llm_stance,llm_score,llm_summary,final_score,decision
AAL.O,AAL,2025-10-31,13.13,2.7387,62.1716,0.266,0.1599,0.1061,0.815,0.2035,13.0,13.15,18.66,9.07,BUY9,2,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,4,bullish,1,"The stock shows bullish momentum with an RSI of 62.17 and a MACD indicating upward strength. It is currently testing resistance at 13.15 while supported at 13.0, and the price is within the Bollinger Bands, suggesting potential for further gains.",5,BUY
CRM,CRM,2025-10-31,260.41,1.465,58.6989,3.3955,2.4016,0.9939,0.8612,0.1213,259.5,262.38,367.87,231.66,BUY9,0,2,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,4,bullish,1,"The momentum is bullish with the MACD above its signal line and a positive histogram. The price is above the mid-Bollinger band and near resistance at 262.38, while also holding above support at 259.5. The RSI indicates neutral conditions, suggesting potential for further upward movement.",5,BUY
KLAR.K,KLAR,2025-10-31,37.57,2.6222,45.1094,-0.9346,-1.0756,0.141,0.3978,0.2151,36.65,39.3,45.48,35.28,BUY9,2,0,RSI_neutral MACD_bullish inside_bands TD_recent_buy9 TD_buy_perfected,5,neutral,0,"The momentum is neutral with an RSI of 45.11 and a bearish MACD, although the TD indicator shows a recent buy signal. Price is near support at 36.65 and below resistance at 39.3, while trading within Bollinger Bands, indicating a lack of strong trend direction.",5,BUY
ALAB.O,ALAB,2025-10-31,186.68,10.1032,43.2567,-7.5649,-9.3491,1.7842,0.5725,0.5303,185.85,189.15,251.88,52.94,BUY9,0,7,RSI_neutral MACD_bullish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_sell_count_7,4,neutral,0,"The stock is currently at 186.68, near support at 185.85 and resistance at 189.15. RSI indicates neutral momentum, while MACD shows a bearish trend. The price is inside Bollinger Bands, suggesting high volatility but no clear direction.",4,BUY
AVGO.O,AVGO,2025-10-31,369.63,-1.8169,56.5654,9.9241,7.3857,2.5384,0.7984,0.1676,359.63,385.98,385.98,146.29,BUY9,0,6,RSI_neutral MACD_bullish inside_bands TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_sell_count_6,4,neutral,0,"AVGO shows a neutral momentum with an RSI of 56.57 and a bullish MACD. The price is near resistance at 385.98 and support at 359.63, while trading within Bollinger Bands, indicating consolidation.",4,BUY
DIS,DIS,2025-10-31,112.62,0.6974,57.6052,-0.4908,-0.6815,0.1907,0.6924,0.0433,112.53,112.75,124.01,81.72,BUY9,0,2,RSI_neutral MACD_bullish inside_bands bollinger_squeeze on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,4,neutral,0,"The stock is currently on support at 112.53 and near resistance at 112.75, with an RSI of 57.61 indicating neutral momentum. The MACD shows a bullish divergence, but the overall trend is mixed with a recent TD signal of BUY9 and a Bollinger Band squeeze suggesting potential volatility.",4,BUY
FTNT.O,FTNT,2025-10-31,86.43,2.6485,61.5784,0.4267,0.3798,0.0469,0.8728,0.0528,85.79,86.46,114.57,74.39,BUY9,0,1,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,4,neutral,0,"FTNT shows a neutral momentum with an RSI of 61.58 and MACD indicating bullishness. The price is near resistance at 86.46 and support at 85.79, while trading inside Bollinger Bands, suggesting consolidation.",4,BUY
GRAB.O,GRAB,2025-10-31,6.01,0.5017,53.0303,0.0256,0.0151,0.0105,0.5793,0.1573,5.98,6.05,6.45,3.48,BUY9,1,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,4,neutral,0,"The momentum is stable with an RSI of 53.03 and a bullish MACD. The price is currently at support near 5.98 and approaching resistance at 6.05, while trading within Bollinger Bands, indicating a balanced trend.",4,BUY
LULU.O,LULU,2025-10-31,170.54,1.4998,50.7521,-1.0023,-1.0503,0.048,0.3769,0.1174,169.62,173.41,421.16,159.87,BUY9,3,0,RSI_neutral MACD_bullish inside_bands near_52w_low on_support near_resistance TD_recent_buy9 TD_sell_perfected,4,neutral,0,"LULU's current momentum is neutral with an RSI of 50.75 and a MACD indicating slight bullishness. The price is near support at 169.62 and resistance at 173.41, while trading within Bollinger Bands, suggesting a consolidation phase.",4,BUY
RIVN.O,RIVN,2025-10-31,13.57,4.465,56.8365,-0.128,-0.1879,0.0599,0.8933,0.0737,13.53,13.64,16.92,9.71,BUY9,0,5,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,4,neutral,0,"RIVN shows a neutral momentum with an RSI of 56.84 and a MACD indicating a slight bullish divergence. The price is near support at 13.53 and resistance at 13.64, while trading within Bollinger Bands, suggesting consolidation.",4,BUY
